,credit.policy,int.rate,installment,log.annual.inc,dti,fico,days.with.cr.line,revol.util,not.fully.paid,purpose_credit_card,purpose_debt_consolidation,purpose_educational,purpose_home_improvement,purpose_major_purchase,purpose_small_business
0,1,0.1189,829.1,11.35040654,19.48,737,5639.958333,52.1,0,False,True,False,False,False,False
1,1,0.1071,228.22,11.08214255,14.29,707,2760.0,76.7,0,True,False,False,False,False,False
2,1,0.1357,366.86,10.37349118,11.63,682,4710.0,25.6,0,False,True,False,False,False,False
3,1,0.1008,162.34,11.35040654,8.1,712,2699.958333,73.2,0,False,True,False,False,False,False
4,1,0.1426,102.92,11.29973224,14.97,667,4066.0,39.5,0,True,False,False,False,False,False
5,1,0.0788,125.13,11.90496755,16.98,727,6120.041667,51.0,0,True,False,False,False,False,False
6,1,0.1496,194.02,10.71441777,4.0,667,3180.041667,76.8,1,False,True,False,False,False,False
7,1,0.1114,131.22,11.00209984,11.08,722,5116.0,68.6,1,False,False,False,False,False,False
8,1,0.1134,87.19,11.40756495,17.25,682,3989.0,51.1,0,False,False,False,True,False,False
9,1,0.1221,84.12,10.20359214,10.0,707,2730.041667,23.0,0,False,True,False,False,False,False
10,1,0.1347,360.43,10.4341158,22.09,677,6713.041667,71.0,0,False,True,False,False,False,False
11,1,0.1324,253.58,11.83500896,9.16,662,4298.0,18.2,0,False,True,False,False,False,False
12,1,0.0859,316.11,10.93310697,15.49,767,6519.958333,16.7,0,False,True,False,False,False,False
13,1,0.0714,92.82,11.51292546,6.5,747,4384.0,4.8,0,False,False,False,False,False,True
14,1,0.0863,209.54,9.487972109,9.73,727,1559.958333,44.6,0,False,True,False,False,False,False
15,1,0.1103,327.53,10.73891524,13.04,702,8159.958333,53.4,0,False,False,False,False,True,False
16,1,0.1317,77.69,10.52277288,2.26,672,3895.958333,88.4,0,False,False,False,False,False,False
17,1,0.0894,476.58,11.60823564,7.07,797,6510.958333,52.7,0,True,False,False,False,False,False
18,1,0.1039,584.12,10.49127422,3.8,712,2760.0,59.8,0,False,True,False,False,False,False
19,1,0.1513,173.65,11.00209984,2.74,667,1126.958333,84.4,0,False,False,False,False,True,False
20,1,0.08,188.02,11.22524339,16.08,772,4888.958333,23.2,0,False,False,False,False,False,False
21,1,0.0863,474.42,10.81977828,2.59,797,11951.0,27.6,0,False,False,False,False,False,False
22,1,0.1355,339.6,11.51292546,7.94,662,1939.958333,57.7,0,True,False,False,False,False,False
23,1,0.0788,484.85,11.73606902,7.05,782,5640.041667,34.6,0,True,False,False,False,False,False
24,1,0.1229,320.19,11.26446411,8.8,672,3760.958333,58.1,0,False,True,False,False,False,False
25,1,0.0901,159.03,12.4292162,10.0,712,1553.958333,36.6,0,False,False,False,False,False,False
26,1,0.0743,155.38,11.08214255,0.28,802,4649.958333,5.7,0,False,False,False,False,False,False
27,1,0.1375,255.43,9.998797732,14.29,662,1318.958333,51.5,0,False,True,False,False,False,False
28,1,0.0743,155.38,12.20607265,0.28,772,4516.958333,13.7,0,False,False,False,False,False,False
29,1,0.0743,155.38,12.20607265,3.72,812,6778.958333,0.7,0,False,False,False,False,False,False
30,1,0.0807,156.84,11.51292546,2.3,742,3148.958333,19.4,0,False,True,False,False,False,False
31,1,0.1028,275.38,9.798127037,6.4,692,7469.958333,26.9,0,True,False,False,False,False,False
32,1,0.0743,155.38,11.91839057,0.0,777,7128.958333,19.5,0,False,False,False,True,False,False
33,1,0.0807,78.42,11.60823564,11.33,762,6059.958333,13.1,0,False,False,False,True,False,False
34,1,0.087,158.3,11.22524339,15.55,757,4770.0,23.0,0,True,False,False,False,False,False
35,1,0.0743,155.38,11.46163217,3.83,772,2535.0,6.8,0,False,False,False,False,False,False
36,1,0.0743,155.38,11.35040654,0.31,787,3540.0,0.6,0,True,False,False,False,False,False
37,1,0.1122,164.23,11.28978191,1.21,672,3990.0,16.1,0,True,False,False,False,False,False
38,1,0.0996,161.25,10.77895629,8.03,707,4320.0,48.6,0,False,True,False,False,False,False
39,1,0.0933,159.77,12.10071213,11.93,717,4498.958333,39.2,0,False,False,False,True,False,False
40,1,0.0807,156.84,12.10071213,5.55,742,4019.0,26.3,0,False,False,False,True,False,False
41,1,0.0743,155.38,11.69524702,2.29,777,3540.0,16.9,0,False,True,False,False,False,False
42,1,0.087,94.98,10.1266311,14.54,752,2460.0,7.8,0,False,False,False,False,False,True
43,1,0.1028,97.2,12.20607265,0.0,677,3779.958333,0.0,0,False,False,False,True,False,False
44,1,0.1122,164.23,10.30895266,18.64,702,5190.0,47.1,0,True,False,False,False,False,False
45,1,0.0838,167.02,11.21182037,14.37,797,5610.958333,14.4,0,True,False,False,False,False,False
46,1,0.0775,168.6,8.987196821,3.0,762,6659.958333,16.5,0,False,False,True,False,False,False
47,1,0.0838,160.72,10.37349118,14.78,772,4379.0,23.9,0,False,False,False,False,False,False
48,1,0.0901,159.03,11.19821472,9.96,722,3089.958333,37.6,0,True,False,False,False,False,False
49,1,0.0743,178.69,11.73606902,0.27,792,7488.958333,10.2,0,False,True,False,False,False,False
50,1,0.0743,155.38,10.71441777,1.12,782,5807.0,0.0,0,True,False,False,False,False,False
51,1,0.1028,323.98,10.217422,10.7,712,1379.0,54.4,0,False,False,False,False,False,True
52,1,0.1059,813.65,10.77895629,4.05,762,2729.958333,23.3,0,False,False,False,False,False,True
53,1,0.0996,112.87,9.510444964,16.44,712,1649.958333,41.1,0,False,False,True,False,False,False
